Month,#Passengers
2012-11,20589.899665112756
2012-12,19838.794315863663
2013-01,18562.443509990953
2013-02,19399.460529853153
2013-03,19846.022317203588
2013-04,20307.391579012656
2013-05,19015.463491842173
2013-06,18306.510062131685
2013-07,17642.375706943058
2013-08,17573.167525079105
2013-09,17241.36986266052
2013-10,17310.19895619048
2013-11,16890.72504685616
2013-12,16338.22951173761
2014-01,17662.496939464945
2014-02,17435.22000847701
2014-03,17605.03644658717
2014-04,17908.898456653602
2014-05,18778.69806841778
2014-06,18669.19900891103
2014-07,19192.7761702712
2014-08,20320.746831030163
2014-09,20873.257761937017
2014-10,21576.070300338164
2014-11,22281.73195583488
2014-12,23644.564476089123
2015-01,27815.598309449302
2015-02,26288.740398584865
2015-03,27804.622807964828
2015-04,25788.999343614632
2015-05,25872.967780968007
2015-06,24321.048134970908
2015-07,25725.8414703916
2015-08,25172.877842281985
2015-09,25573.107550753626
2015-10,25870.94295099113
2015-11,26707.92998910918
2015-12,25945.703941380612
2016-01,27224.88992146392
2016-02,28164.899440122375
2016-03,26919.263858834085
2016-04,26725.341975853866
2016-05,27569.628809881808
2016-06,29537.00939187098
2016-07,30156.822834424565
2016-08,29818.922105547525
2016-09,29217.804712515008
2016-10,28521.791197711424
2016-11,27095.663803192256
2016-12,27185.35002979774
2017-01,26748.69214811464
2017-02,27588.051360485293
2017-03,27183.91832785901
2017-04,27007.963340606508
2017-05,26852.85834503228
2017-06,26530.629279338493
2017-07,25635.47876584539
2017-08,26340.809566327327
2017-09,25790.457358138774
2017-10,26150.424846515816
2017-11,25887.744442300325
2017-12,26043.000093186354
2018-01,24240.318850330452
2018-02,23959.58512239014
2018-03,24497.797640767
2018-04,24495.40971088594
2018-05,25846.145773282227
2018-06,25996.552400067398
2018-07,25416.506317283987
2018-08,26015.323070485876
2018-09,25384.82530206677
2018-10,25135.51566462356
2018-11,25517.522466624174
2018-12,26738.027299601494
2019-01,26814.275985959717
2019-02,26651.16205649316
2019-03,28536.447680199777
2019-04,28046.578377686143
2019-05,30124.09686475377
2019-06,29898.400724090057
2019-07,30566.155810687767
2019-08,34249.33810164931
2019-09,33791.52247925982
2019-10,32685.68443712577
